ordinal	jar	distribution_path	original_sha256	pom_relation	recovered_source_namespaces	stage1_disposition	candidate_artifact	candidate_sha256	later_scope	decision_reason
1	HdrHistogram-2.1.12.jar	lib/HdrHistogram-2.1.12.jar	9b47fbae444feaac4b7e04f0ea294569e4bc282bc69d8c2ce2ac3f23577281e2	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/HdrHistogram-2.1.12.jar	9b47fbae444feaac4b7e04f0ea294569e4bc282bc69d8c2ce2ac3f23577281e2	operations-and-observability	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
2	activemq-artemis-native-2.0.0.jar	lib/activemq-artemis-native-2.0.0.jar	b4022172b60397e0205644afde431446d86959182f2ed71246fcdff86cb6c78e	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/activemq-artemis-native-2.0.0.jar	b4022172b60397e0205644afde431446d86959182f2ed71246fcdff86cb6c78e	peer-transactor-transport	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
3	annotations-2.15.66.jar	lib/annotations-2.15.66.jar	451a6d3682d5f79a8535031e70d635c2a5b035ec2cb514ae2bdedfe96a252d69	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/annotations-2.15.66.jar	451a6d3682d5f79a8535031e70d635c2a5b035ec2cb514ae2bdedfe96a252d69	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
4	anomalies-0.1.12.jar	lib/anomalies-0.1.12.jar	6f8b82602ae84352c61a9e632895089f1c51e43e8af71769371f38feeaec7fc1	direct-pom	1	RETAIN_HASH_PINNED_STAGE1	lib/anomalies-0.1.12.jar	6f8b82602ae84352c61a9e632895089f1c51e43e8af71769371f38feeaec7fc1	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
5	api-0.8.686.jar	lib/api-0.8.686.jar	3127804f4b6c44fe3320cf623c4813169ca2bec16ee111c70e69bfb04e017d9b	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/api-0.8.686.jar	3127804f4b6c44fe3320cf623c4813169ca2bec16ee111c70e69bfb04e017d9b	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
6	artemis-commons-2.31.2.jar	lib/artemis-commons-2.31.2.jar	1d1b161ceab050a830b318acd3d2058f2bafcf9cd0ef75764f760d6a51fa2526	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/artemis-commons-2.31.2.jar	1d1b161ceab050a830b318acd3d2058f2bafcf9cd0ef75764f760d6a51fa2526	peer-transactor-transport	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
7	artemis-core-client-2.31.2.jar	lib/artemis-core-client-2.31.2.jar	cdf8ce7ea9b1deb4137926ce3882b9e60208a15bdb52d8837b27e73b0bf96186	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/artemis-core-client-2.31.2.jar	cdf8ce7ea9b1deb4137926ce3882b9e60208a15bdb52d8837b27e73b0bf96186	peer-transactor-transport	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
8	artemis-jdbc-store-2.31.2.jar	lib/artemis-jdbc-store-2.31.2.jar	e382737d4fca23b57c3ef5952ed5354e91a048ca27a9efd18ad43b46e215b6b0	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/artemis-jdbc-store-2.31.2.jar	e382737d4fca23b57c3ef5952ed5354e91a048ca27a9efd18ad43b46e215b6b0	peer-transactor-transport	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
9	artemis-journal-2.31.2.jar	lib/artemis-journal-2.31.2.jar	c07f44885f43743e2c75a4d411220b7db9bacd694d33c8b3e513f574d7434aa0	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/artemis-journal-2.31.2.jar	c07f44885f43743e2c75a4d411220b7db9bacd694d33c8b3e513f574d7434aa0	peer-transactor-transport	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
10	artemis-quorum-api-2.31.2.jar	lib/artemis-quorum-api-2.31.2.jar	c6e912dabb38abeb205348f67dafda8eb54d81a036a6b1e7e6bb65083d581664	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/artemis-quorum-api-2.31.2.jar	c6e912dabb38abeb205348f67dafda8eb54d81a036a6b1e7e6bb65083d581664	peer-transactor-transport	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
