namespace	warning_source_sites_before_repair	form	original_class_and_method	decisive_original_bytecode	minimal_recovered_source_correction	expected_unique_warning_delta
datomic.index	index.clj:235,240,243,248	get-dir-node	datomic.index$get_dir_node/invokeStatic	RootNode.dirids and RootNode.dirs are followed by CHECKCAST [Ljava/lang/Object; before RT.aget/aset	add ^"[Ljava.lang.Object;" to the four array operands	-4
datomic.index	index.clj:281,305,346,361,391	TreeIter prev/next	datomic.index.TreeIter/prev,next	DirNode.segids GETFIELD is followed by CHECKCAST [Ljava/lang/Object; before RT.aget	add ^"[Ljava.lang.Object;" to each segids array operand	-5
datomic.index	index.clj:484,492,540,548	TreeIter dir-seq generated iterators	datomic.index.TreeIter$iter__15146__15152.../invoke and nested invoke	DirNode.segids uses CHECKCAST [Ljava/lang/Object;; DirNode.counts uses Numbers.ints/CHECKCAST [I before array load	add object-array hints to segids and ^ints to counts	-4
datomic.index	index.clj:903,905,906	eavt-cmpi compare	datomic.index$reify__15183/compare	TransposedData.eas is CHECKCAST [J before LALOAD; result is CHECKCAST java/lang/Number before Number.longValue	use ^longs for eas and a typed java.lang.Number result local	-3
datomic.index	index.clj:947,949,950	avet-cmpi compare	datomic.index$reify__15185/compare	TransposedData.eas is CHECKCAST [J before LALOAD; result is CHECKCAST java/lang/Number before Number.longValue	use ^longs for eas and a typed java.lang.Number result local	-3
datomic.index	index.clj:991,993,994	aevt-cmpi compare	datomic.index$reify__15187/compare	TransposedData.eas is CHECKCAST [J before LALOAD; result is CHECKCAST java/lang/Number before Number.longValue	use ^longs for eas and a typed java.lang.Number result local	-3
datomic.index	index.clj:1035,1040,1041	raet-cmpi compare	datomic.index$reify__15189/compare	TransposedData.eas is CHECKCAST [J before LALOAD; result is CHECKCAST java/lang/Number before Number.longValue	use ^longs for eas and a typed java.lang.Number result local	-3
datomic.index	index.clj:1104	indexed-binary-search	datomic.index$indexed_binary_search/invokeStatic	loop result is CHECKCAST java/lang/Number before Number.longValue	bind loop result to a ^java.lang.Number local before longValue	-1
datomic.index	index.clj:1128	ibtree-search metadata reset	datomic.index__init/load	metadata vector is dispatched through clojure/lang/IObj.withMeta(IPersistentMap)	bind arglist vector to a ^clojure.lang.IObj local	-1
datomic.index	index.clj:1163,1166,1171,1176,1184,1186,1191,1192	Index seek(Object)	datomic.index.Index/seek(Ljava/lang/Object;)	RootNode.dirids and DirNode.segids/segs use CHECKCAST [Ljava/lang/Object;; offsets/counts use CHECKCAST [I	add exact object-array and int-array operand hints	-8
datomic.index	index.clj:1216	Index seek()	datomic.index.Index/seek()	RootNode.dirids GETFIELD is followed by CHECKCAST [Ljava/lang/Object; before ARRAYLENGTH	add exact object-array hint to alength operand	-1
datomic.index	index.clj:1253	Index longCount	datomic.index.Index/longCount	cached/reduced result is CHECKCAST java/lang/Number before Number.longValue	bind result to a ^java.lang.Number local	-1
datomic.index	index.clj:1256,1259,1261	Index seek-seg	datomic.index.Index/seek_seg	RootNode.dirids and DirNode.segids are CHECKCAST [Ljava/lang/Object; before ARRAYLENGTH/aget	add exact object-array operand hints	-3
datomic.index	index.clj:1329,1337,1368,1376	Index seq generated iterators	datomic.index.Index$iter__15197__15203.../invoke and nested invoke	DirNode.segids uses CHECKCAST [Ljava/lang/Object;; counts uses CHECKCAST [I before array loads	add exact object-array and int-array operand hints	-4
datomic.index	index.clj:1787	valid-version	datomic.index$valid_version/invokeStatic	validated version is CHECKCAST java/lang/Number before Number.longValue	bind validated version to a ^java.lang.Number local	-1
datomic.index	index.clj:2225	filter-nohist-pairs	datomic.index$filter_nohist_pairs/invokeStatic	attribute function result is CHECKCAST datomic/db/Attribute before GETFIELD noHistory	hint db/attribute result as datomic.db.Attribute	-1
datomic.index	index.clj:2255	separating-retractions	datomic.index$separating_retractions/invokeStatic	attribute function result is CHECKCAST datomic/db/Attribute before GETFIELD noHistory	hint db/attribute result as datomic.db.Attribute	-1
datomic.index	index.clj:2908,2943,2950,2956	merge-one-index mkdes	datomic.index$merge_one_index$mkdes__15464$fn__15465/invoke	segids uses CHECKCAST [Ljava/lang/Object;; keydata CHECKCAST java/util/List before List.get; offsets/counts CHECKCAST [I	add exact object-array, java.util.List, and int-array hints	-4
datomic.index	index.clj:3367 (message operand at 3369)	merge-one-index catch	datomic.index$merge_one_index/invokeStatic	logger/process result is CHECKCAST java/lang/String before Logger.warn(String,Throwable)	hint logger/process result as java.lang.String	-1
datomic.index	index.clj:3498,3500,3515	aevt-attrs-datoms	datomic.index$aevt_attrs_datoms$fn__15545/invoke	Db index/mid_index/history values are CHECKCAST datomic/db/IndexSet before GETFIELD aevt	hint each nested field receiver as datomic.db.IndexSet	-3
datomic.index	index.clj:3647	dropped-avet-aids fadd	datomic.index$dropped_avet_aids$fadd__15588$fn__15589/invoke	attribute result is CHECKCAST datomic/db/Attribute before GETFIELD needsAVET	hint db/attribute result as datomic.db.Attribute	-1
datomic.index	index.clj:3928,3932	stg-index-segs	datomic.index$stg_index_segs/invokeStatic	RootNode.dirids and DirNode.segids are CHECKCAST [Ljava/lang/Object; before ARRAYLENGTH	add exact object-array hints to both alength operands	-2
datomic.index	index.clj:4060	disjoined-datoms	datomic.index$disjoined_datoms/invokeStatic	idx is CHECKCAST datomic/btset/IDataSet before IDataSet.seek()	hint the some-> idx value as datomic.btset.IDataSet	-1
datomic.index	index.clj:4761,4821	merge-db* tiered-index scans	datomic.index$merge_db_STAR_$build_tiered_index__15765/invoke and $fn__15810/invoke	Index.seek result is CHECKCAST datomic/index/TreeIter before TreeIter.dir_seq()	hint both seek results as datomic.index.TreeIter	-2
datomic.index	index.clj:5085,5086,5087	merge-db* eavt inputs	datomic.index$merge_db_STAR_/invokeStatic	Db indexing/mid_index/index values are each CHECKCAST datomic/db/IndexSet before GETFIELD eavt	hint all three nested receivers as datomic.db.IndexSet	-3
datomic.index	index.clj:5110,5111,5112	merge-db* avet inputs	datomic.index$merge_db_STAR_/invokeStatic	Db indexing/mid_index/index values are each CHECKCAST datomic/db/IndexSet before GETFIELD avet	hint all three nested receivers as datomic.db.IndexSet	-3
datomic.index	index.clj:5135,5136,5137	merge-db* aevt inputs	datomic.index$merge_db_STAR_/invokeStatic	Db indexing/mid_index/index values are each CHECKCAST datomic/db/IndexSet before GETFIELD aevt	hint all three nested receivers as datomic.db.IndexSet	-3
datomic.index	index.clj:5165	merge-db* fulltext aevt input	datomic.index$merge_db_STAR_/invokeStatic	Db.indexing value is CHECKCAST datomic/db/IndexSet before GETFIELD aevt	hint nested receiver as datomic.db.IndexSet	-1
datomic.index	index.clj:5192,5193,5194	merge-db* raet inputs	datomic.index$merge_db_STAR_/invokeStatic	Db indexing/mid_index/index values are each CHECKCAST datomic/db/IndexSet before GETFIELD raet	hint all three nested receivers as datomic.db.IndexSet	-3
datomic.index	index.clj:5426 (message operand at 5428)	merge-db catch	datomic.index$merge_db/invokeStatic	logger/process result is CHECKCAST java/lang/String before Logger.warn(String,Throwable)	hint logger/process result as java.lang.String	-1
datomic.db	db.clj:314	implicit-part	datomic.db$implicit_part/invokeStatic	branch result is CHECKCAST java/lang/Number before Number.longValue	bind branch result to a ^java.lang.Number local	-1
datomic.db	db.clj:333	make-tempid metadata reset	datomic.db__init/load	metadata vector is dispatched through clojure/lang/IObj.withMeta(IPersistentMap)	bind arglist vector to a ^clojure.lang.IObj local	-1
datomic.db	db.clj:642,663,684,705	eavt/avet/aevt/raet comparators	datomic.db$reify__12535/compare; reify__12537/compare; reify__12539/compare; reify__12541/compare	each comparison result is CHECKCAST java/lang/Number before Number.intValue	bind each comparison result to a ^java.lang.Number local	-4
