source_path	origin	counterpart_relation	counterpart_path	mechanism_family	current_rust_owner	trace_path	disposition
1.0.7705/peer/src-clj/data_readers.clj	exact-packaged-resource	only-in-this-artifact	-	exact-dependency-or-resource	-	datomic_pro_docs/00_start_here/00_introduction.atomic.md	Exact attributed dependency/resource; no annotation or mandatory native port required.
1.0.7705/peer/src-clj/datomic/adopter.clj	recovered-datomic-initializer	byte-identical	1.0.7705/transactor/src-clj/datomic/adopter.clj	peer-observation	src/peer/live.rs	datomic_pro_docs/07_peer_api/00_clojure/00_datomic_api.atomic.md	Captured values and advancing observation; no URI-global cache or reader-pin compatibility. Exact baseline pair shares one mechanism; no duplicate port or redundant annotation required.
1.0.7705/peer/src-clj/datomic/aggregation.clj	recovered-datomic-initializer	same-path-not-byte-identical	1.0.7705/transactor/src-clj/datomic/aggregation.clj	query-and-diagnostics	src/query/mod.rs	datomic_pro_docs/05_query_and_pull/02_query_reference.atomic.md	Native relational/result/control owner; qtune is optional diagnostic policy, not runtime scheduling parity. Nonidentical artifact copy: family mapping does not assert whole-file equivalence.
1.0.7705/peer/src-clj/datomic/anomalizer.clj	recovered-datomic-initializer	only-in-this-artifact	-	application-completion-errors	src/application/mod.rs	datomic_pro_docs/07_peer_api/00_clojure/00_datomic_api.atomic.md	Shared API/completion family; native bounded executor and typed errors replace JVM adapters.
1.0.7705/peer/src-clj/datomic/api.clj	recovered-datomic-initializer	same-path-not-byte-identical	1.0.7705/transactor/src-clj/datomic/api.clj	application-completion-errors	src/application/mod.rs	datomic_pro_docs/07_peer_api/00_clojure/00_datomic_api.atomic.md	Shared API/completion family; native bounded executor and typed errors replace JVM adapters. Nonidentical artifact copy: family mapping does not assert whole-file equivalence.
1.0.7705/peer/src-clj/datomic/artemis_client.clj	recovered-datomic-initializer	same-path-not-byte-identical	1.0.7705/transactor/src-clj/datomic/artemis_client.clj	peer-transport	src/application/transport/mod.rs	datomic_pro_docs/07_peer_api/00_clojure/00_datomic_api.atomic.md	Source broker notification/submission adapter; native local/TLS transport uses stable identity and receipts, not Artemis protocol. Nonidentical artifact copy: family mapping does not assert whole-file equivalence.
1.0.7705/peer/src-clj/datomic/assert.clj	recovered-datomic-initializer	same-path-not-byte-identical	1.0.7705/transactor/src-clj/datomic/assert.clj	transaction-admission	src/transaction/mod.rs	datomic_pro_docs/04_transactions/02_transaction_data.atomic.md	Native shared transaction admission/assessment; generated assertion expansion is not a separate engine. Nonidentical artifact copy: family mapping does not assert whole-file equivalence.
1.0.7705/peer/src-clj/datomic/async.clj	recovered-datomic-initializer	same-path-not-byte-identical	1.0.7705/transactor/src-clj/datomic/async.clj	application-completion-errors	src/application/mod.rs	datomic_pro_docs/07_peer_api/00_clojure/00_datomic_api.atomic.md	Shared API/completion family; native bounded executor and typed errors replace JVM adapters. Nonidentical artifact copy: family mapping does not assert whole-file equivalence.
1.0.7705/peer/src-clj/datomic/aws/client/anomalizer.clj	recovered-datomic-initializer	only-in-this-artifact	-	non-target-provider	-	datomic_pro_docs/08_operations/00_architecture_and_storage/00_storage_services.atomic.md	Non-target backend/vendor integration; no unsupported native provider is advertised.
1.0.7705/peer/src-clj/datomic/aws/client/api.clj	recovered-datomic-initializer	only-in-this-artifact	-	non-target-provider	-	datomic_pro_docs/08_operations/00_architecture_and_storage/00_storage_services.atomic.md	Non-target backend/vendor integration; no unsupported native provider is advertised.
